,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,label
26,1.0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,10
27,1.0,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,11
28,1.0,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,14
29,1.0,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,10
30,1.0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,9
31,1.0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,14
32,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,17
33,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,18
34,1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,12
35,1.0,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125,7
36,1.0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,15
37,1.0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,7
38,1.0,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,10
39,1.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,8
40,1.0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,8
41,1.0,0.55,0.425,0.135,0.8515,0.36200000000000004,0.196,0.27,13
42,2.0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,4
43,2.0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,4
44,2.0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,3
45,2.0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,6
46,1.0,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14,8
47,1.0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,6
48,2.0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,5
49,1.0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,8
50,2.0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,7
51,1.0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,6
52,1.0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,9
53,1.0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,9
54,1.0,0.405,0.31,0.1,0.385,0.17300000000000001,0.0915,0.11,6
55,1.0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,7
56,1.0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,7
57,1.0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,7
58,2.0,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,3
59,1.0,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175,6
60,1.0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,6
61,1.0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,8
62,1.0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,9
63,1.0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,6
64,1.0,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185,7
65,1.0,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135,7
66,1.0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,11
67,1.0,0.595,0.495,0.185,1.285,0.41600000000000004,0.22399999999999998,0.485,12
68,1.0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,9
69,2.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,5
70,1.0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,12
71,1.0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,7
72,1.0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,19
73,1.0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,10
74,1.0,0.605,0.45,0.195,1.0979999999999999,0.48100000000000004,0.2895,0.315,12
75,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,14
76,1.0,0.595,0.475,0.14,0.9440000000000001,0.3625,0.18899999999999997,0.315,8
77,1.0,0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305,9
78,1.0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,10
79,1.0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,13
80,1.0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,8
81,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,11
82,1.0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,15
83,1.0,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58,20
84,1.0,0.58,0.45,0.14,1.013,0.38,0.21600000000000003,0.36,13
85,1.0,0.57,0.465,0.18,1.295,0.33899999999999997,0.2225,0.44,11
86,1.0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,12
87,1.0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,9
88,1.0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,8
89,1.0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,11
90,1.0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,14
91,1.0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,11
92,1.0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,12
93,1.0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,9
94,1.0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,14
95,1.0,0.665,0.535,0.195,1.6059999999999999,0.5755,0.38799999999999996,0.48,13
96,1.0,0.535,0.435,0.15,0.725,0.26899999999999996,0.1385,0.25,8
97,1.0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,7
98,1.0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,6
99,1.0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,9
100,2.0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,6
101,1.0,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,14
102,1.0,0.53,0.435,0.16,0.883,0.316,0.16399999999999998,0.335,14
103,1.0,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205,9
104,1.0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,11
105,1.0,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235,11
106,1.0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,10
107,1.0,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,9
108,1.0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,8
109,1.0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,8
110,1.0,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,8
111,1.0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,8
112,2.0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,8
113,1.0,0.425,0.35,0.105,0.39299999999999996,0.13,0.063,0.165,8
114,1.0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,10
115,1.0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,10
116,1.0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,10
117,1.0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,9
118,1.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,8
119,1.0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,7
120,1.0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,8
121,2.0,0.385,0.295,0.085,0.2535,0.10300000000000001,0.0575,0.085,6
122,1.0,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,13
123,1.0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,5
124,2.0,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,5
125,2.0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,4
126,2.0,0.375,0.275,0.09,0.23800000000000002,0.1075,0.0545,0.07,5
127,2.0,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08,7
128,1.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,18
129,1.0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,17
130,1.0,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41,16
131,1.0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,8
132,1.0,0.325,0.26,0.09,0.1915,0.085,0.036000000000000004,0.062,6
133,2.0,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,6
134,2.0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.027999999999999997,6
135,1.0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,7
136,1.0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,6
137,1.0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,8
138,1.0,0.405,0.325,0.11,0.3555,0.151,0.063,0.11699999999999999,8
139,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,8
140,1.0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,9
141,1.0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,9
142,1.0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,15
143,1.0,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,10
144,1.0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,9
145,1.0,0.49,0.38,0.125,0.5489999999999999,0.245,0.1075,0.174,9
146,1.0,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565,9
147,2.0,0.28,0.205,0.08,0.127,0.052000000000000005,0.039,0.042,8
148,2.0,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,4
149,2.0,0.17,0.13,0.095,0.03,0.013000000000000001,0.008,0.01,3
150,1.0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,14
151,1.0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,8
152,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,9
153,1.0,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,9
154,1.0,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,11
155,1.0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,9
156,1.0,0.575,0.46,0.19,0.9940000000000001,0.392,0.2425,0.34,12
157,1.0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,15
158,1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,12
159,1.0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,12
160,1.0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,12
161,1.0,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,12
162,1.0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,11
163,1.0,0.725,0.56,0.21,2.141,0.65,0.39799999999999996,1.005,17
164,1.0,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,15
165,1.0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,13
166,1.0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,19
167,1.0,0.68,0.57,0.205,1.8419999999999999,0.625,0.408,0.65,19
168,1.0,0.705,0.56,0.22,1.9809999999999999,0.8175,0.3085,0.76,13
169,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,11
170,1.0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,13
171,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,6
172,1.0,0.525,0.435,0.155,1.065,0.486,0.233,0.285,7
173,1.0,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22,7
174,2.0,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015,4
175,2.0,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,6
176,2.0,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,4
177,2.0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,7
178,2.0,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,3
179,1.0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,10
180,1.0,0.57,0.48,0.18,0.9395,0.39899999999999997,0.2,0.295,13
181,1.0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,20
182,1.0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,9
183,1.0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,9
184,1.0,0.645,0.51,0.2,1.5675,0.621,0.36700000000000005,0.46,11
185,1.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,12
186,1.0,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,11
187,1.0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,9
188,1.0,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,10
189,1.0,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,8
190,1.0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,12
191,1.0,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,11
192,1.0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,13
193,2.0,0.355,0.275,0.085,0.22,0.092,0.06,0.15,7
194,1.0,0.51,0.4,0.14,0.8145,0.45899999999999996,0.1965,0.195,9
195,1.0,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,11
196,1.0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,10
197,1.0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,15
198,1.0,0.56,0.45,0.16,0.922,0.43200000000000005,0.17800000000000002,0.26,14
199,1.0,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,9
200,1.0,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,8
201,1.0,0.5,0.4,0.165,0.825,0.254,0.205,0.285,12
202,1.0,0.5,0.4,0.145,0.63,0.23399999999999999,0.1465,0.23,11
203,1.0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,12
204,1.0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,7
205,1.0,0.44,0.34,0.14,0.48200000000000004,0.18600000000000003,0.1085,0.16,8
206,2.0,0.4,0.3,0.11,0.315,0.109,0.067,0.12,8
207,2.0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,7
208,1.0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,12
209,2.0,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,6
210,1.0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,9
211,1.0,0.335,0.25,0.09,0.18100000000000002,0.0755,0.0415,0.06,6
212,1.0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,11
213,1.0,0.5,0.405,0.14,0.6155,0.24100000000000002,0.1355,0.205,8
214,1.0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,13
215,1.0,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,9
216,1.0,0.45,0.35,0.13,0.46,0.174,0.111,0.135,7
217,2.0,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,6
218,1.0,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,9
219,1.0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,7
220,1.0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,8
221,1.0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,10
222,1.0,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19,8
223,1.0,0.445,0.355,0.15,0.485,0.18100000000000002,0.125,0.155,10
224,2.0,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,9
225,1.0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,8
226,1.0,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,6
227,2.0,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,6
228,1.0,0.58,0.465,0.165,1.1015,0.40399999999999997,0.2095,0.35,10
229,1.0,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,14
230,1.0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,12
231,1.0,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,13
232,1.0,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,21
233,2.0,0.275,0.215,0.075,0.1155,0.0485,0.028999999999999998,0.035,6
234,2.0,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,11
235,2.0,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,8
236,2.0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,0
237,2.0,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004,2
238,2.0,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,2
239,2.0,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,4
240,1.0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,16
241,2.0,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,4
242,2.0,0.23,0.175,0.065,0.0645,0.026000000000000002,0.0105,0.02,4
243,2.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,7
244,2.0,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,7
245,2.0,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,9
246,2.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,12
247,2.0,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,8
248,2.0,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,6
249,2.0,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07,6
250,2.0,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,6
251,1.0,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,12
252,1.0,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,11
253,1.0,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,14
254,1.0,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,14
255,1.0,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,14
256,1.0,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,18
257,1.0,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,9
258,1.0,0.635,0.505,0.17,1.415,0.605,0.297,0.365,14
259,1.0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,12
260,1.0,0.54,0.475,0.155,0.9279999999999999,0.39399999999999996,0.19399999999999998,0.26,10
261,1.0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,11
262,1.0,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,10
263,2.0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026000000000000002,3
264,1.0,0.27,0.2,0.08,0.1205,0.0465,0.027999999999999997,0.04,5
265,1.0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,10
266,1.0,0.52,0.45,0.15,0.895,0.3615,0.18600000000000003,0.235,13
267,1.0,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,7
268,1.0,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,8
269,1.0,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,12
270,1.0,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,21
271,1.0,0.59,0.5,0.2,1.187,0.41200000000000003,0.2705,0.37,15
272,1.0,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,13
273,1.0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,14
274,1.0,0.63,0.515,0.155,1.2590000000000001,0.4105,0.19699999999999998,0.41,12
275,1.0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,21
276,1.0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,11
277,1.0,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,17
278,1.0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,19
279,1.0,0.515,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25,10
280,1.0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,14
281,2.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,6
282,1.0,0.455,0.355,0.12,0.4495,0.177,0.10400000000000001,0.15,8
283,1.0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,13
284,1.0,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,13
285,1.0,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,9
286,1.0,0.53,0.435,0.155,0.6990000000000001,0.28800000000000003,0.1595,0.205,9
287,1.0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,16
288,1.0,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,8
289,1.0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,9
290,1.0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,16
291,1.0,0.565,0.505,0.21,1.2765,0.501,0.27899999999999997,0.355,11
292,1.0,0.61,0.475,0.165,1.1159999999999999,0.428,0.2205,0.315,14
293,1.0,0.565,0.455,0.175,1.013,0.342,0.207,0.35,18
294,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,25
295,2.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04,5
296,2.0,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,5
297,2.0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,3
298,1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,10
299,1.0,0.37,0.28,0.105,0.23399999999999999,0.0905,0.0585,0.075,8
300,1.0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,8
301,1.0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,12
302,1.0,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001,7
303,1.0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,5
304,1.0,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15,9
305,2.0,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001,3
306,2.0,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,2
307,1.0,0.645,0.515,0.24,1.5415,0.47100000000000003,0.369,0.535,12
308,1.0,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,13
309,1.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,9
310,1.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,20
311,1.0,0.56,0.44,0.14,0.971,0.44299999999999995,0.2045,0.265,13
312,1.0,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,18
313,1.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,22
314,1.0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,22
315,2.0,0.45,0.355,0.11,0.4585,0.19399999999999998,0.067,0.14,7
316,1.0,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,13
317,1.0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,9
318,1.0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,17
319,2.0,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,5
320,2.0,0.265,0.21,0.06,0.0965,0.0425,0.022000000000000002,0.03,4
321,2.0,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,3
322,1.0,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,10
323,2.0,0.265,0.205,0.07,0.1055,0.039,0.040999999999999995,0.035,4
324,1.0,0.335,0.265,0.105,0.222,0.0935,0.055999999999999994,0.075,6
325,2.0,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08,6
326,2.0,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,6
327,1.0,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,11
328,1.0,0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095,7
329,2.0,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,7
330,1.0,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,11
331,1.0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,7
332,2.0,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,4
333,2.0,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,4
334,1.0,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,15
335,1.0,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,10
336,1.0,0.6,0.475,0.19,1.0875,0.40299999999999997,0.2655,0.325,13
337,1.0,0.59,0.45,0.185,1.2830000000000001,0.473,0.276,0.425,15
338,1.0,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,12
339,1.0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,14
340,1.0,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,13
341,1.0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,13
342,1.0,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,11
343,1.0,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,11
344,1.0,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,7
345,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,12
346,1.0,0.525,0.42,0.16,0.7559999999999999,0.2745,0.17300000000000001,0.275,8
347,2.0,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,5
348,2.0,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,7
349,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,13
350,1.0,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,7
351,1.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,21
352,1.0,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,11
353,1.0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,8
354,1.0,0.635,0.515,0.17,1.275,0.509,0.28600000000000003,0.34,15
